,name,YOLO_accuracy,YOLO_precision,YOLO_recall,YOLO_specificity,accuracy,precision,recall,f1score
38,ALFF5620ljk02,0.7306590257879656,0.0,0.0,0.9479553903345724,0.7863468634686347,0.10371819960861056,0.3045977011494253,0.15474452554744525
39,NCmlbDaj-uE07,0.6163934426229508,1.0,0.0168067226890756,1.0,0.8919753086419753,0.0,0.0,0.0
40,Normal_Videos,0.9942528735632185,0.0,0.0,0.9942528735632185,,,,
41,Normal_Videos,0.9759493670886076,0.0,0.0,0.9759493670886076,,,,
42,Normal_Videos,0.5469879518072289,0.0,0.0,0.5469879518072289,,,,
43,Normal_Videos,0.9329545454545456,0.0,0.0,0.9329545454545456,,,,
44,Normal_Videos,0.9626288659793816,0.0,0.0,0.9626288659793816,,,,
45,Normal_Videos,0.934971098265896,0.0,0.0,0.934971098265896,,,,
46,Normal_Videos,1.0,0.0,0.0,1.0,,,,
47,Normal_Videos,1.0,0.0,0.0,1.0,,,,
48,Normal_Videos,0.8962264150943396,0.0,0.0,0.8962264150943396,,,,
49,Normal_Videos,0.8127090301003345,0.0,0.0,0.8127090301003345,,,,
50,Normal_Videos,1.0,0.0,0.0,1.0,,,,
51,Normal_Videos,0.9963092269326684,0.0,0.0,0.9963092269326684,,,,
52,Normal_Videos,0.9127218934911244,0.0,0.0,0.9127218934911244,,,,
53,Normal_Videos,1.0,0.0,0.0,1.0,,,,
54,Normal_Videos,0.9325084364454445,0.0,0.0,0.9325084364454445,,,,
55,Normal_Videos,0.985254691689008,0.0,0.0,0.985254691689008,,,,
56,Normal_Videos,0.9844054580896686,0.0,0.0,0.9844054580896686,,,,
57,oopO9qXFlws01,,,,,0.7983182730923695,0.23868312757201646,0.2111010009099181,0.22404635441815549
58,bSZkOI7eF8k20,,,,,0.5288705801579128,0.12003755364806867,0.7483277591973244,0.20688858067498844
59,ieFXAiS97A014,,,,,0.7237113402061855,0.2903225806451613,0.6521739130434783,0.4017857142857143
